Image Link,Name,Location,Type,Avg Cost,Area,Rooms,Description,Page No
https://mediacdn.99acres.com/media1/16332/4/326644272M-1635767134330.jpg,Kumar Palmcrest,Pisoli,Apartment,"₹ 44  - 44.69 L₹ 5,739/sq.ft.",766-778 sq.ft. (71-72 sq.m.) Carpet Area,2 BHK2 Baths,"Make Kumar Palmcrest your next home. This project offers 2 BHK flats in Pisoli, Pune. With a carpet area ranging from 766.39 sq. ft. to 778.77 sq. ft., these flats combine the finest design and amenities in Pune to provide a living experience unlike any other. It is an under construction project and is unique in its perfect harmony of classic form and modern construction. The features and the a...more",1
https://mediacdn.99acres.com/media1/17255/0/345100942M-1645075367693.jpg,Dreamland Allure,Wagholi,Apartment,"₹ 35.3  - 46.11 L₹ 5,028/sq.ft.",702-916 sq.ft. (65-85 sq.m.) Carpet Area,2 BHK2 Baths,"This well-known project offers 2 BHK apartments in Wagholi, Pune. With a carpet area, ranging from 702.0 sq. ft. to 916.85 sq. ft., the apartments are available at an economical price range of Rs. 35.3 Lac to Rs. 46.11 Lac. There are 1 towers. A close attention has been paid to each detail for a comfortable living. It has 24/7 Water Supply, Multipurpose Hall, Car Parking, Fire Fighting Systems,...more",1
https://mediacdn.99acres.com/media1/17170/16/343416240M-1644236667017.jpg,Ranjai Apartments,Shivane,Apartment,"₹ 45  - 50 L₹ 7,278/sq.ft.",632-671 sq.ft. (59-62 sq.m.) Carpet Area,2 BHK2 Baths,"The project offers 2 BHK apartments in Shivane, Pune. These apartments have a carpet area, ranging from 632.92 sq. ft. to 671.34 sq. ft. and are available at a price range starting from Rs. 45 Lac to Rs. 50 Lac. It is a ready to move project, with 1 towers and features an array of facilities including a Letter Box, Security Cabin, 24/7 Water Supply, Internal Street Lights, Children's Play Area....more",1
https://mediacdn.99acres.com/media1/16148/11/322971380M-1633938235990.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 25 L,475 sq.ft. (44 sq.m.) Carpet Area,1 BHK,"Make Kanha Vrundavan Heritage your next home. Book your 1 BHK flat in Saswad, Pune. With a carpet area of 475.44 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 1 BHK flat for Rs. 25 Lac. It is a new launch property which is unique in its perfect harmony of classic form and modern con...more",1
https://mediacdn.99acres.com/media1/16050/8/321008250M-1632986038014.jpg,Ganga New Town3.5 ★,Dhanori,Apartment,"₹ 42.24  - 43.79 L₹ 8,578/sq.ft.",492-510 sq.ft. (46-47 sq.m.) Carpet Area,1 BHK1 Bath,"Ganga New Town offers 1 BHK apartments in Dhanori, Pune, at an affordable price range of Rs. 42.24 Lac to Rs. 43.79 Lac. These are a ready to move apartments spreading across a carpet area of 492.56 sq. ft. - 510.32 sq. ft. There are a total of 16 towers in the project. The project offers inclusion of essential amenities like Landscape Garden, Power Back up Lift, Skating Rink, Gated Community, ...more",1
https://mediacdn.99acres.com/media1/16401/1/328021292M-1636630378643.jpg,Miravet District,Ravet,Apartment,₹ 66.2  - 68.18 L,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK,"This well-known project offers 2 BHK apartments in Ravet, Pune. With a carpet area, ranging from 842.28 sq. ft. to 869.83 sq. ft., the apartments are available at an economical price range of Rs. 66.2 Lac to Rs. 68.18 Lac. There are 4 towers. A close attention has been paid to each detail for a comfortable living. It has Amphitheatre, Yoga/Meditation Area, Sun Deck, Gated Community, 24x7 Securi...more",1
https://mediacdn.99acres.com/media1/16623/11/332471264M-1638782564116.jpg,Vivaan Park,Dhanori,Apartment,₹ 55.6  - 55.99 L,705-710 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at Vivaan Park, located in Dhanori, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 705.0 sq. ft. - 710.0 sq. ft., these are a new launch apartments. These are available at a price range of Rs. 55.6 Lac to Rs. 55.99 Lac. All the towers have with aesthetically crafted interiors as well as exteriors. The project has the latest amenities ...more",1
https://mediacdn.99acres.com/media1/16684/16/333696216M-1639377848364.jpg,Emerald City,Uruli Kanchan,Plot,"₹ 21  - 52.16 L₹ 2,099/sq.ft.","1,000-2,484 sq.ft. (93-231 sq.m.) Plot Area",,Invest in the best appreciating location of pune suburbs...!!! Emerald city is a gated community at urulikanchan spread over 10 acres having 160 sanctioned residential na plots. Emerald city is pmrda and collector approved residential na project which provides 70% and above bank loan facilities by leading private and nationalized banks. Emerald city is a ready to move in project with 20 plus ba...more,1
https://mediacdn.99acres.com/media1/16148/11/322971390M-1633938236075.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 35 L,669 sq.ft. (62 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Kanha Vrundavan Heritage. It offers an exclusive range of 2 BHK flats in Saswad, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 35 Lac and has a carpet area of 669.95 sq. ft. Kanha Vrundavan Heritage is a secured gated community that further has 24x7 security systems. It has round the clock power back up a...more",1
https://mediacdn.99acres.com/media1/16050/8/321008258M-1632986039022.jpg,Ganga New Town3.5 ★,Dhanori,Apartment,"₹ 71.93  - 76.64 L₹ 8,883/sq.ft.",809-862 sq.ft. (75-80 sq.m.) Carpet Area,2 BHK2 Baths,"Let your dream of owning a flat come true with Ganga New Town. It offers an exclusive range of 2 BHK flats in Dhanori, Pune. They are available at price of Rs. 71.93 Lac - Rs. 76.64 Lac and have a carpet area of 809.78 sq. ft. to 862.52 sq. ft. The project is a secured gated community that further has 24x7 security systems. It has round the clock water supply and features many more attractive f...more",1
